"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-09","10.07"," 1354"," 1620","0.00","0.0","0.0","41","55","27",,"  130","  120","21.0","23.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-10","16.78"," 1332"," 1310","0.00","0.0","0.0","43","60","25",,"  330","  340","40.0","46.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-11","7.16"," 1635"," 1648","0.00","0.0","0.0","34","49","19",,"   90","  100","17.9","21.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-12","8.05"," 1340"," 1359","0.00","0.0","0.0","48","72","23",,"  360","   20","28.0","33.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-13","8.05"," 2344",,"0.00","0.0","0.0","54","73","35",,"  340",,"34.9","0.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-14","16.78"," 0028"," 0027","0.00","0.0","0.0","30","38","21",,"  340","  340","33.1","38.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-15","7.83"," 0049"," 0048","1.00","5.0","3.0","21","23","19",,"   30","   30","15.0","16.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-16","6.93"," 2349"," 2348","0.00","0.0","1.0","34","47","21",,"  130","  130","16.1","17.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-17","8.72"," 1029"," 1212","0.00","0.0","0.0","51","71","30",,"  340","   20","23.0","25.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-18","17.22"," 2210"," 2209","0.04","0.0","0.0","49","59","38",,"   40","   30","34.9","40.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-19","29.30"," 0937"," 1049","1.20","14.0","12.0","34","38","29",,"  330","  330","49.0","59.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-20","7.38"," 0152"," 0147","0.00","0.0","5.0","33","42","23",,"  320","  320","19.9","21.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-21","2.91"," 2359"," 2355","0.00","0.0","1.0","43","56","29",,"  310","  300","8.9","10.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-22","8.28"," 2030"," 2031","0.00","0.0","0.0","51","70","40",,"   30","   30","16.1","16.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-23","7.38"," 1954"," 1953","0.45","0.0","0.0","53","67","39",,"  350","  340","23.0","25.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-24","14.76"," 2049"," 2003","0.48","0.0","0.0","47","51","43",,"  320","  320","30.0","34.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-25","10.29"," 0009"," 0008","0.00","0.0","0.0","50","62","37",,"  320","  320","21.9","25.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-26","18.57"," 1459"," 1159","0.00","0.0","0.0","49","60","37",,"  330","  330","40.0","46.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-27","15.43"," 0837"," 0823","0.00","0.0","0.0","49","61","37",,"  320","  340","29.1","32.0"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-28","14.99"," 0857"," 0858","0.00","0.0","0.0",,"71","35",,"  160","  160","25.1","25.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-29","19.91"," 1750"," 1704","0.75","0.0","0.0","52","63","41",,"  350","  350","34.9","40.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-04-30","16.11"," 0814"," 0741","0.00","0.0","0.0","52","63","41",,"  340","  330","28.0","34.9"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-01","4.70"," 1724"," 1444","0.00","0.0","0.0","54","73","35",,"  100","   30","10.1","14.1"
"USW00024090","RAPID CITY REGIONAL AIRPORT, SD US","2000-05-02","12.97"," 1648"," 1358","0.00","0.0","0.0","63","83","42",,"  170","  170","23.0","29.1"
